type,description,risk,recommendations
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fever,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
weakness,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
